"","fips","year","county","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty"
"75",6021,2014,"Glenn",1,NA,5.51092378899315,3.78356610169492,28.3,NA,3.1,5.1,26.3
"76",6021,2015,"Glenn",2.12412983703306,NA,2.22592355919942,1.39327348892879,28.3,NA,3.1,5.10238335,28.5
"77",6021,2016,"Glenn",1.60056022408964,NA,2.62218171443064,0.77139175257732,19.5,4.3,4.1,5.852156058,23.7
"78",6023,2010,"Humboldt",1,NA,2.25073821903111,0.636064662793635,13,4.9,4.1,6,21
"79",6023,2011,"Humboldt",3.0393023255814,NA,0.592223841445643,0.527499677738152,13,4.5,4.3,5.9,24.4
"80",6023,2012,"Humboldt",1.45731707317073,NA,1.75038374125874,0.18,14,4.4,4.3,6.1,22
"81",6023,2013,"Humboldt",NA,NA,0.24402157164869,NA,9.9,3.6,6,6,26.3
"82",6023,2014,"Humboldt",1,NA,0.321864406779661,NA,12,4.1,3.9,5.7,27.2
"83",6023,2015,"Humboldt",1,NA,0.277261146496815,0.5,12,4.1,3.9,5.484611851,25.6
"84",6023,2016,"Humboldt",3.18094997473471,NA,0.627038169969411,1.95020408163265,14.7,4.1,4.1,5.467879688,23.9
"85",6025,2010,"Imperial",1,NA,0.23,4.33,31,4.8,5.1,6,28
"86",6025,2011,"Imperial",1,1.5,0.23,NA,31.7,4.9,4,5.84,28.1
"87",6025,2012,"Imperial",1.72981229603868,NA,0.221402940443558,NA,30.9,4.8,3.8,6.1,31.8
"88",6027,2010,"Inyo",6.98814621409922,1.5,0.436079612801264,6.12921733803033,NA,2.3,4.5,7,16
"89",6027,2011,"Inyo",5.45052884615385,1.5,0.394815323041738,13.0278578479763,NA,3,4.8,7.22,17.5
"90",6027,2012,"Inyo",8.29916974169742,1.5,0.529732370433305,13.0456976744186,NA,2.9,5,8.2,20.5
"91",6027,2013,"Inyo",10.39875,1.5,0.643616975901045,9.32515547543939,NA,1.4,8.5,8.5,20.4
"92",6027,2014,"Inyo",1.4669696969697,1.5,0.520400156924284,11.289336492891,NA,3.4,NA,8.9,19.2
"93",6027,2015,"Inyo",1.79993930197269,1.5,0.419045438534695,4.14197408077155,NA,3.4,NA,8.676092545,23.1
"94",6027,2016,"Inyo",9.20331010452962,NA,0.412131314272799,22.084913957935,14.1,3.7,3.8,8.403908795,20.2
"95",6029,2010,"Kern",3.78322643200983,1.5,1.96116568833387,7.26022151675485,24,4.6,4.4,7,25
"96",6029,2011,"Kern",3.19294196695433,1.49663563323264,2.0575651419318,2.20196959015023,24.4,4.5,4.5,6.92,26.6
"97",6029,2012,"Kern",2.45840245622202,1.5,2.10523852048605,4.44421222289746,24.4,4.4,4.1,7,30.3
"98",6029,2013,"Kern",4.64458383237211,1.5,2.07298983893783,6.56013287574236,21.7,3.9,7.1,7.1,34.6
"99",6029,2014,"Kern",2.94968772773459,1.5,2.08146539125172,3.74450777003982,23.7,4.7,4.2,7.2,33.3
"100",6029,2015,"Kern",3.99253056601845,1.5,2.29676386536921,3.04525631801421,23.7,4.7,4.2,7.095431286,30.5
"101",6029,2016,"Kern",3.99556239942839,1.5,1.77887593141057,3.75012104082333,20.8,4.2,4,7.123828414,32.9
"102",6031,2010,"Kings",4.32479541619176,1.5,0.840317912269059,3.68197233852701,24,3.9,2.9,6,21
"103",6031,2011,"Kings",5.17061470332393,NA,0.570340263028041,3.09720835751596,23.2,4.1,3,6.35,22.5
"104",6031,2012,"Kings",4.73104267545651,1.5,0.716235025344471,2.00036134988857,22.6,4.4,3.8,6.4,29.7
"105",6031,2013,"Kings",5.94256013978436,NA,0.909822672971628,6.50494113449875,21.5,3.8,6.5,6.5,29.5
"106",6031,2014,"Kings",5.96615823264886,1.5,1.30271264272712,3.22418938567794,26.9,5.4,4.3,6.5,27.9
"107",6031,2015,"Kings",5.1378516467916,NA,1.02754689883483,1.18796263316388,26.9,5.4,4.3,6.392894347,28
"108",6031,2016,"Kings",4.86109580935586,1.5,0.890222291612163,1.11791594892767,21.6,4.4,4,6.380135842,33.8
"109",6033,2010,"Lake",1.39102894074582,NA,0.606890426622506,2.08759249540803,19,4.8,3.9,6,27
"110",6033,2011,"Lake",1.22466998610468,1.5,0.771972383091045,0.594335664335664,18.9,4.8,4.1,6.32,24.7
"111",6033,2012,"Lake",1.46302009505545,NA,0.679891471948761,2.4449331963001,21.8,4.4,3.9,6.2,29.8
"112",6033,2013,"Lake",1.40243432343234,1.5,0.468577702320317,0.42,12.7,3.3,5.9,5.9,33.8
"113",6033,2014,"Lake",1.51933370090763,1.5,0.314779444557065,0.07,20.4,4.9,4.5,6,31.5
